,cocoId,cocoSplit,cropBox,nsdId,shared1000,subject1,subject2,subject3,subject4,subject5,subject6,subject7,subject8
0,532481,val2017,"(0, 0, 0.1671875, 0.1671875)",0,False,0,0,1,0,0,0,0,0
1,245764,val2017,"(0, 0, 0.125, 0.125)",1,False,0,0,0,0,0,0,1,0
2,385029,val2017,"(0, 0, 0.125, 0.125)",2,False,0,0,1,0,0,0,0,0
3,311303,val2017,"(0, 0, 0.16640625, 0.16640625)",3,False,0,0,1,0,0,0,0,0
4,393226,val2017,"(0, 0, 0.125, 0.125)",4,False,0,0,0,0,0,1,0,0
5,475150,val2017,"(0, 0, 0.16640625, 0.16640625)",5,False,0,1,0,0,0,0,0,0
6,554328,val2017,"(0, 0, 0.11015625, 0.11015625)",6,False,0,0,1,0,0,0,0,0
7,438269,val2017,"(0.16484375, 0.16484375, 0, 0)",7,False,0,0,0,0,0,0,0,1
8,8211,val2017,"(0, 0, 0.14140625, 0.14140625)",8,False,0,0,0,0,1,0,0,0
9,327701,val2017,"(0, 0, 0.165625, 0.165625)",9,False,0,0,0,0,0,0,0,1
10,376856,val2017,"(0.125, 0.125, 0, 0)",10,False,0,0,0,0,0,1,0,0
11,221213,val2017,"(0, 0, 0.125, 0.125)",11,False,0,0,1,0,0,0,0,0
12,372349,val2017,"(0, 0, 0.15859375, 0.15859375)",12,False,0,0,0,1,0,0,0,0
13,24610,val2017,"(0, 0, 0.125, 0.125)",13,False,1,0,0,0,0,0,0,0
14,558114,val2017,"(0, 0, 0.125, 0.125)",14,False,0,0,0,0,0,0,1,0
15,213033,val2017,"(0, 0.25, 0, 0)",15,False,0,0,0,0,0,0,1,0
16,466986,val2017,"(0, 0, 0.0, 0.253125)",16,False,0,0,0,1,0,0,0,0
17,213035,val2017,"(0, 0, 0.16640625, 0.16640625)",17,False,0,0,0,1,0,0,0,0
18,368684,val2017,"(0, 0, 0.125, 0.125)",18,False,0,0,0,0,0,1,0,0
19,188465,val2017,"(0, 0, 0.1453125, 0.1453125)",19,False,0,0,0,0,0,0,1,0
20,333069,val2017,"(0.165625, 0.165625, 0, 0)",20,False,0,0,0,1,0,0,0,0
21,475191,val2017,"(0, 0, 0.125, 0.125)",21,False,0,0,0,0,0,0,0,1
22,499768,val2017,"(0, 0, 0.165625, 0.165625)",22,False,0,0,0,1,0,0,0,0
23,76468,val2017,"(0, 0, 0.125, 0.125)",23,False,0,0,0,1,0,0,0,0
24,131131,val2017,"(0, 0, 0.125, 0.125)",24,False,0,0,0,0,0,1,0,0
25,275727,val2017,"(0, 0, 0.12890625, 0.12890625)",25,False,0,0,0,0,0,0,0,1
26,499775,val2017,"(0, 0, 0.25, 0.0)",26,False,0,0,0,0,0,0,0,1
27,254016,val2017,"(0, 0.25, 0, 0)",27,False,1,0,0,0,0,0,0,0
28,393282,val2017,"(0, 0, 0.0, 0.0)",28,False,0,0,0,0,0,0,0,1
29,106563,val2017,"(0, 0, 0.0, 0.0)",29,False,0,0,0,0,0,0,0,1
30,376900,val2017,"(0, 0.25, 0, 0)",30,False,0,0,0,0,1,0,0,0
31,120572,val2017,"(0, 0, 0.16640625, 0.16640625)",31,False,0,0,0,0,0,1,0,0
32,507975,val2017,"(0, 0, 0.125, 0.125)",32,False,0,0,0,0,1,0,0,0
33,23023,val2017,"(0, 0, 0.0, 0.0)",33,False,0,0,0,1,0,0,0,0
34,241677,val2017,"(0, 0, 0.125, 0.125)",34,False,0,0,0,0,1,0,0,0
35,262227,val2017,"(0.1296875, 0.1296875, 0, 0)",35,False,0,0,0,0,0,0,0,1
36,8277,val2017,"(0, 0, 0.0, 0.0)",36,False,0,1,0,0,0,0,0,0
37,324614,val2017,"(0, 0, 0.16640625, 0.16640625)",37,False,0,0,0,1,0,0,0,0
38,491613,val2017,"(0.125, 0.125, 0, 0)",38,False,0,0,0,0,0,0,1,0
39,532575,val2017,"(0, 0, 0.16640625, 0.16640625)",39,False,0,0,0,0,0,0,1,0
40,90208,val2017,"(0, 0, 0.0, 0.3296875)",40,False,0,0,0,1,0,0,0,0
41,311394,val2017,"(0, 0.25, 0, 0)",41,False,0,0,0,0,0,0,0,1
42,490171,val2017,"(0, 0, 0.16640625, 0.16640625)",42,False,0,0,0,0,0,0,1,0
43,327780,val2017,"(0, 0, 0.125, 0.125)",43,False,0,0,0,0,0,0,0,1
44,290833,val2017,"(0, 0, 0.16640625, 0.16640625)",44,False,0,1,0,0,0,0,0,0
45,522940,val2017,"(0.10078125, 0.10078125, 0, 0)",45,False,0,0,0,1,0,0,0,0
46,29984,val2017,"(0, 0, 0.115625, 0.115625)",46,False,0,0,0,0,0,1,0,0
47,163951,val2017,"(0.16640625, 0.16640625, 0, 0)",47,False,0,0,0,0,0,0,1,0
48,360564,val2017,"(0, 0, 0.16640625, 0.16640625)",48,False,0,0,1,0,0,0,0,0
49,49269,val2017,"(0.16328125, 0.16328125, 0, 0)",49,False,0,0,0,0,0,0,1,0
50,32887,val2017,"(0, 0, 0.125, 0.125)",50,False,0,0,0,0,0,1,0,0
51,434297,val2017,"(0, 0, 0.125, 0.125)",51,False,0,0,0,1,0,0,0,0
52,450686,val2017,"(0, 0.2015625, 0, 0)",52,False,0,0,0,0,1,0,0,0
53,32901,val2017,"(0, 0, 0.0734375, 0.0734375)",53,False,0,0,0,1,0,0,0,0
54,540932,val2017,"(0, 0, 0.125, 0.125)",54,False,0,1,0,0,0,0,0,0
55,565391,val2017,"(0.25, 0.0, 0, 0)",55,False,0,0,0,0,0,0,1,0
56,335800,val2017,"(0, 0, 0.16640625, 0.16640625)",56,False,0,0,0,0,0,1,0,0
57,196759,val2017,"(0, 0, 0.125, 0.125)",57,False,0,1,0,0,0,0,0,0
58,180383,val2017,"(0, 0, 0.125, 0.125)",58,False,0,1,0,0,0,0,0,0
59,572303,val2017,"(0, 0, 0.125, 0.125)",59,False,0,0,0,0,0,0,0,1
60,82085,val2017,"(0, 0, 0.165625, 0.165625)",60,False,0,0,0,1,0,0,0,0
61,524456,val2017,"(0, 0, 0.125, 0.125)",61,False,0,0,0,0,1,0,0,0
62,90284,val2017,"(0, 0, 0.00078125, 0.00078125)",62,False,0,0,0,1,0,0,0,0
63,188592,val2017,"(0, 0.25, 0, 0)",63,False,0,1,0,0,0,0,0,0
64,278705,val2017,"(0, 0, 0.125, 0.125)",64,False,0,1,0,0,0,0,0,0
65,394611,val2017,"(0, 0, 0.125, 0.125)",65,False,0,0,0,0,1,0,0,0
66,336053,val2017,"(0, 0, 0.125, 0.125)",66,False,0,0,0,0,0,1,0,0
67,114871,val2017,"(0, 0, 0.16640625, 0.16640625)",67,False,0,0,0,0,0,1,0,0
68,537270,val2017,"(0, 0, 0.125, 0.125)",68,False,0,1,0,0,0,0,0,0
69,128372,val2017,"(0, 0, 0.16640625, 0.16640625)",69,False,0,0,0,0,1,0,0,0
70,286907,val2017,"(0.125, 0.125, 0, 0)",70,False,0,0,0,0,0,1,0,0
71,286908,val2017,"(0, 0, 0.0, 0.0)",71,False,1,0,0,0,0,0,0,0
72,296231,val2017,"(0, 0, 0.125, 0.125)",72,False,0,0,0,0,1,0,0,0
73,508101,val2017,"(0, 0, 0.125, 0.125)",73,False,0,0,0,0,0,0,1,0
74,450758,val2017,"(0, 0, 0.12578125, 0.12578125)",74,False,0,0,0,1,0,0,0,0
75,65736,val2017,"(0, 0, 0.16640625, 0.16640625)",75,False,0,1,0,0,0,0,0,0
76,131273,val2017,"(0.125, 0.125, 0, 0)",76,False,0,0,0,0,0,0,0,1
77,483531,val2017,"(0, 0, 0.125, 0.125)",77,False,0,0,0,1,0,0,0,0
78,344268,val2017,"(0, 0, 0.1, 0.1)",78,False,0,0,1,0,0,0,0,0
79,125850,val2017,"(0, 0, 0.11796875, 0.11796875)",79,False,0,1,0,0,0,0,0,0
80,360661,val2017,"(0, 0, 0.125, 0.125)",80,False,0,1,0,0,0,0,0,0
81,98520,val2017,"(0, 0, 0.125, 0.125)",81,False,0,0,0,1,0,0,0,0
82,215778,val2017,"(0, 0, 0.16640625, 0.16640625)",82,False,0,0,1,0,0,0,0,0
83,426203,val2017,"(0, 0.334375, 0, 0)",83,False,0,0,0,0,0,0,1,0
